Id,Name,Surname,Gender,Age,Email,Phone number,Amount of bought RE,Date of each RE purchase in agency,Last bought RE,Last interaction with agent,Interested in purchase,Reason for lack of interest,*Type of RE,*Value of RE,*Family size,*NET income
1,Boris,Johnson,M,47,Boris.Johnson@gmail.com,123456789,1,14/01/1992,14/01/1992,06/09/1995,,,,,,
2,Margaret,Thatcher,F,75,Margaret.Thatcher@gmail.com,123456789,3,23/07/1999;14/11/2004;03/01/2009,03/01/2009,17/10/2016,,,,,,
3,Winston,Churchill,M,26,Winston.Churchill@gmail.com,123456789,2,15/02/2000;17/10/2004,17/10/2004,25/10/2015,,,,,,
4,Tony,Blair,M,34,Tony.Blair@gmail.com,123456789,6,15/09/1981;11/04/1983;15/05/1984;25/10/1987;01/04/1990;15/08/1994,15/08/1994,02/04/1997,,,,,,
5,Theresa,May,F,35,Theresa.May@gmail.com,123456789,1,30/10/1999,30/10/1999,03/02/2003,,,,,,
6,Barack,Obama,M,80,Barack.Obama@gmail.com,123456789,3,18/09/1983;23/07/1991;03/04/2016,03/04/2016,11/09/2021,,,,,,
7,George,Bush,M,31,George.Bush@gmail.com,123456789,4,01/03/1981;21/12/1982;06/07/1984;21/11/1988,21/11/1988,21/10/2021,,,,,,
8,Dick,Cheney,M,56,Dick.Cheney@gmail.com,123456789,7,02/05/1995;02/05/1998;02/05/2001;02/05/2004;02/05/2007;02/05/2010;02/05/2013,02/05/2013,30/07/2016,,,,,,
9,Joe,Biden,M,25,Joe.Biden@gmail.com,123456789,1,03/06/1991,03/06/1991,12/11/1997,,,,,,
10,Nancy,Pelosi,F,60,Nancy.Pelosi@gmail.com,123456789,2,14/11/1981;24/07/1986,24/07/1986,19/09/2021,,,,,,
11,Mahatma,Gandhi,M,35,Mahatma.Gandhi@gmail.com,123456789,8,25/01/2009;25/01/2010;25/01/2011;25/01/2012;25/01/2013;25/01/2014;25/01/2015;25/01/2016,25/01/2016,12/10/1992,,,,,,
12,Arnold,Schwarzenegger,M,78,Arnold.Schwarzenegger@gmail.com,123456789,4,06/10/2001;06/10/2002;06/10/2003;06/10/2005,06/10/2005,29/05/2014,,,,,,
13,Hillary,Clinton,F,44,Hillary.Clinton@gmail.com,123456789,6,31/01/1996;03/11/2001;15/05/2002;26/07/2004;17/12/2005;03/09/2006,03/09/2006,06/07/2011,,,,,,
14,Greta,Thunberg,F,20,Greta.Thunberg@gmail.com,123456789,2,07/06/1989;23/12/1999,23/12/1999,04/04/2007,,,,,,
